Random_ID;WORRIED;HEALTHY;FEWFOOD;SKIPPED;ATELESS;RUNOUT;HUNGRY;WHLDAY;wt;year;N_adults;N_child;Raw_score;Raw_score_par;Raw_score_par_error;Prob_Mod_Sev;Prob_sev;Age;Education;Area;Gender;Income;
177562016,00;0;0;0;0;0;0;0;0;1,18;2014;03;00;0,00;-2,13;0,89;0,00;0,00;29,00;2;9;2;3;
124579592,00;1;1;0;0;0;0;0;0;0,68;2014;02;00;2,00;-1,01;0,56;0,10;0,00;77,00;1;9;1;3;
119402709,00;0;0;0;0;0;0;0;0;0,82;2014;02;01;0,00;-2,13;0,89;0,00;0,00;36,00;3;9;2;4;
174963283,00;0;0;0;0;0;0;0;0;1,00;2014;02;01;0,00;-2,13;0,89;0,00;0,00;22,00;2;9;2;4;
113682781,00;1;1;1;1;1;1;1;1;1,84;2014;04;02;8,00;2,25;0,89;1,00;0,66;40,00;1;9;2;1;
168259168,00;0;0;0;0;0;0;0;0;0,42;2014;01;00;0,00;-2,13;0,89;0,00;0,00;52,00;2;9;1;5;
156919294,00;0;0;0;0;0;0;0;0;0,46;2014;02;02;0,00;-2,13;0,89;0,00;0,00;59,00;1;9;2;1;
161629862,00;1;1;0;0;0;0;0;0;0,78;2014;03;00;2,00;-1,01;0,56;0,10;0,00;86,00;1;9;2;2;
163694620,00;0;0;0;0;0;0;0;0;0,82;2014;02;01;0,00;-2,13;0,89;0,00;0,00;37,00;2;9;2;3;
182685143,00;0;0;0;0;0;0;0;0;0,65;2014;02;00;0,00;-2,13;0,89;0,00;0,00;53,00;2;9;2;5;
182460193,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;61,00;1;9;1;4;
176934542,00;0;0;0;0;0;0;0;0;1,05;2014;02;00;0,00;-2,13;0,89;0,00;0,00;15,00;1;9;1;3;
118188534,00;0;0;0;0;0;0;0;0;0,85;2014;02;00;0,00;-2,13;0,89;0,00;0,00;48,00;2;9;1;5;
191226480,00;0;0;0;0;0;0;0;0;0,37;2014;01;00;0,00;-2,13;0,89;0,00;0,00;63,00;2;9;2;4;
142295332,00;0;0;0;0;0;0;0;0;0,37;2014;01;00;0,00;-2,13;0,89;0,00;0,00;76,00;1;9;2;4;
147956686,00;0;0;0;0;0;0;0;0;1,31;2014;02;00;0,00;-2,13;0,89;0,00;0,00;21,00;2;9;1;5;
140935410,00;0;0;0;0;0;0;0;0;0,93;2014;04;00;0,00;-2,13;0,89;0,00;0,00;60,00;3;9;2;5;
115132035,00;1;0;1;0;0;0;1;0;0,55;2014;03;00;3,00;-0,52;0,53;0,35;0,00;78,00;1;9;2;2;
209163265,00;0;0;0;0;0;0;0;0;2,62;2014;04;00;0,00;-2,13;0,89;0,00;0,00;20,00;2;9;1;5;
175714370,00;0;0;0;0;0;0;0;0;1,30;2014;05;01;0,00;-2,13;0,89;0,00;0,00;50,00;2;9;2;2;
142342314,00;0;0;0;0;0;0;0;0;1,30;2014;02;01;0,00;-2,13;0,89;0,00;0,00;33,00;2;9;1;4;
144875759,00;0;0;0;0;0;0;0;0;0,65;2014;02;00;0,00;-2,13;0,89;0,00;0,00;51,00;2;9;2;3;
188930098,00;0;0;0;0;0;0;0;0;1,30;2014;04;00;0,00;-2,13;0,89;0,00;0,00;41,00;2;9;2;2;
136855190,00;0;0;0;0;0;0;0;0;1,48;2014;03;00;0,00;-2,13;0,89;0,00;0,00;29,00;2;9;2;5;
174732132,00;0;0;0;0;0;0;0;0;0,65;2014;02;00;0,00;-2,13;0,89;0,00;0,00;50,00;2;6;2;5;
138456709,00;0;0;0;0;0;0;0;0;0,85;2014;02;00;0,00;-2,13;0,89;0,00;0,00;53,00;1;9;1;2;
121785159,00;1;0;0;0;0;0;0;0;1,02;2014;03;01;1,00;-1,63;0,68;0,03;0,00;48,00;1;9;1;3;
202706972,00;0;0;0;0;0;0;0;0;2,62;2014;04;02;0,00;-2,13;0,89;0,00;0,00;24,00;2;6;1;4;
150158282,00;0;0;0;0;0;0;0;0;0,54;2014;01;00;0,00;-2,13;0,89;0,00;0,00;39,00;2;9;1;5;
133300028,00;0;0;0;0;0;0;0;0;0,97;2014;03;00;0,00;-2,13;0,89;0,00;0,00;50,00;2;9;2;3;
162412657,00;1;1;1;0;1;1;0;0;1,30;2014;04;00;5,00;0,42;0,53;0,92;0,00;53,00;3;9;2;3;
148345796,00;0;0;0;0;0;0;0;0;0,77;2014;03;00;0,00;-2,13;0,89;0,00;0,00;51,00;2;9;2;4;
199376477,00;0;0;0;0;0;0;0;0;0,79;2014;02;00;0,00;-2,13;0,89;0,00;0,00;25,00;2;9;2;4;
149289136,00;0;0;0;0;0;0;0;0;1,30;2014;05;00;0,00;-2,13;0,89;0,00;0,00;49,00;1;6;2;4;
164907836,00;1;1;1;0;1;1;1;1;0,78;2014;03;02;7,00;1,54;0,68;1,00;0,31;70,00;1;9;2;1;
118035670,00;0;0;0;0;0;0;0;0;0,78;2014;03;02;0,00;-2,13;0,89;0,00;0,00;73,00;1;8;2;2;
130734561,00;1;1;1;1;1;1;1;1;1,12;2014;02;04;8,00;2,25;0,89;1,00;0,66;31,00;2;8;2;1;
175932148,00;1;0;1;0;0;0;0;0;0,74;2014;06;00;2,00;-1,01;0,56;0,10;0,00;72,00;2;8;2;3;
186337663,00;1;0;1;0;1;0;0;0;1,05;2014;02;00;3,00;-0,52;0,53;0,35;0,00;17,00;1;9;1;2;
170596173,00;1;1;1;0;1;0;0;0;0,68;2014;02;00;4,00;-0,05;0,52;0,69;0,00;70,00;1;6;1;2;
167553431,00;0;0;0;0;0;0;0;0;1,30;2014;04;00;0,00;-2,13;0,89;0,00;0,00;44,00;1;8;2;4;
143528019,00;0;0;0;0;0;0;0;0;1,71;2014;04;00;0,00;-2,13;0,89;0,00;0,00;35,00;1;6;1;2;
120609839,00;1;1;1;0;1;0;0;0;0,78;2014;03;00;4,00;-0,05;0,52;0,69;0,00;60,00;1;6;2;2;
166588285,00;0;0;0;0;0;0;0;0;0,82;2014;02;01;0,00;-2,13;0,89;0,00;0,00;44,00;2;9;2;4;
178790312,00;1;0;0;0;0;0;0;0;1,12;2014;02;01;1,00;-1,63;0,68;0,03;0,00;30,00;1;9;2;2;
190593647,00;1;1;1;1;1;1;1;1;1,12;2014;02;00;8,00;2,25;0,89;1,00;0,66;34,00;1;9;2;1;
194901636,00;0;0;0;0;0;0;0;0;0,82;2014;02;02;0,00;-2,13;0,89;0,00;0,00;37,00;2;9;2;4;
135398160,00;1;0;0;0;1;0;0;0;1,84;2014;04;00;2,00;-1,01;0,56;0,10;0,00;43,00;1;9;2;2;
189594903,00;0;0;0;0;0;0;0;0;1,05;2014;02;00;0,00;-2,13;0,89;0,00;0,00;24,00;2;9;1;5;
167441988,00;0;0;0;0;0;0;0;0;1,57;2014;03;00;0,00;-2,13;0,89;0,00;0,00;24,00;2;9;1;2;
114743689,00;1;1;0;1;0;0;0;0;0,56;2014;01;00;3,00;-0,52;0,53;0,35;0,00;19,00;1;9;2;1;
191415598,00;0;0;0;0;0;0;0;0;1,31;2014;02;00;0,00;-2,13;0,89;0,00;0,00;24,00;2;9;1;5;
149788893,00;0;0;0;0;0;0;0;0;0,41;2014;01;01;0,00;-2,13;0,89;0,00;0,00;40,00;2;9;2;2;
117630047,00;0;0;0;0;0;0;0;0;0,54;2014;01;00;0,00;-2,13;0,89;0,00;0,00;36,00;2;9;1;5;
119488222,00;0;0;0;0;0;0;0;0;0,98;2014;03;00;0,00;-2,13;0,89;0,00;0,00;39,00;2;9;2;3;
133152545,00;0;0;0;0;0;0;0;0;0,69;2014;03;00;0,00;-2,13;0,89;0,00;0,00;67,00;1;8;2;1;
132154396,00;0;0;0;0;0;0;0;0;1,57;2014;03;00;0,00;-2,13;0,89;0,00;0,00;19,00;2;8;1;2;
134311189,00;0;0;1;0;1;1;1;0;0,46;2014;01;00;4,00;-0,05;0,52;0,69;0,00;36,00;1;8;2;2;
181734225,00;0;0;0;0;0;0;0;0;0,85;2014;02;00;0,00;-2,13;0,89;0,00;0,00;47,00;2;8;1;5;
185910010,00;0;0;0;0;0;0;0;0;1,21;2014;02;01;0,00;-2,13;0,89;0,00;0,00;42,00;1;8;1;2;
203746034,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;69,00;1;7;1;5;
151965925,00;1;1;1;1;1;1;1;1;0,97;2014;03;00;8,00;2,25;0,89;1,00;0,66;53,00;1;8;2;1;
118041176,00;0;0;0;0;0;0;0;0;0,37;2014;01;00;0,00;-2,13;0,89;0,00;0,00;64,00;1;7;2;5;
131360773,00;1;1;1;1;1;1;1;1;0,73;2014;02;01;8,00;2,25;0,89;1,00;0,66;52,00;1;7;2;2;
176786067,00;0;0;0;0;0;0;0;0;1,68;2014;03;00;0,00;-2,13;0,89;0,00;0,00;29,00;1;8;2;2;
208702582,00;0;0;0;0;0;0;0;0;1,37;2014;05;00;0,00;-2,13;0,89;0,00;0,00;83,00;1;8;1;1;
174412980,00;1;0;0;0;1;1;0;0;0,98;2014;03;00;3,00;-0,52;0,53;0,35;0,00;42,00;1;9;2;2;
182745961,00;0;0;0;0;0;0;0;0;1,21;2014;04;00;0,00;-2,13;0,89;0,00;0,00;74,00;2;9;1;2;
164126907,00;0;0;0;0;0;0;0;0;0,46;2014;01;00;0,00;-2,13;0,89;0,00;0,00;39,00;2;9;2;5;
154461714,00;1;1;0;0;1;0;0;0;1,35;2014;05;00;3,00;-0,52;0,53;0,35;0,00;49,00;1;9;1;1;
188783387,00;1;1;1;0;1;1;1;1;1,10;2014;03;00;7,00;1,54;0,68;1,00;0,31;53,00;1;9;2;2;
140785501,00;0;0;0;0;0;0;0;0;1,07;2014;02;00;0,00;-2,13;0,89;0,00;0,00;40,00;2;9;1;4;
206639357,00;0;0;0;0;0;0;0;0;0,37;2014;01;00;0,00;-2,13;0,89;0,00;0,00;50,00;2;9;2;5;
148002200,00;1;1;1;0;1;0;0;0;0,52;2014;02;00;4,00;-0,05;0,52;0,69;0,00;65,00;1;9;2;3;
114907052,00;1;1;1;0;1;0;0;0;0,48;2014;01;00;4,00;-0,05;0,52;0,69;0,00;51,00;1;9;1;4;
140690829,00;0;0;0;0;0;0;0;0;0,54;2014;01;00;0,00;-2,13;0,89;0,00;0,00;43,00;3;6;1;5;
170971076,00;0;0;0;0;0;0;0;0;0,52;2014;02;00;0,00;-2,13;0,89;0,00;0,00;70,00;1;6;2;4;
153639732,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;67,00;3;6;1;5;
162046678,00;0;0;0;0;0;0;0;0;1,23;2014;03;00;0,00;-2,13;0,89;0,00;0,00;37,00;2;6;2;2;
173567907,00;0;0;0;0;0;0;0;0;1,50;2014;03;00;0,00;-2,13;0,89;0,00;0,00;20,00;2;6;2;5;
161092575,00;0;0;0;0;0;0;0;0;2,60;2014;04;01;0,00;-2,13;0,89;0,00;0,00;27,00;2;6;1;5;
134047221,00;0;0;0;0;0;0;0;0;0,69;2014;03;00;0,00;-2,13;0,89;0,00;0,00;61,00;2;9;2;4;
147207257,00;0;0;0;0;0;0;0;0;0,74;2014;05;01;0,00;-2,13;0,89;0,00;0,00;57,00;2;6;2;2;
131993440,00;0;0;0;0;0;0;0;0;0,41;2014;01;01;0,00;-2,13;0,89;0,00;0,00;35,00;2;6;2;4;
210782317,00;0;0;0;0;0;0;0;0;0,73;2014;03;00;0,00;-2,13;0,89;0,00;0,00;72,00;4;6;1;2;
192112215,00;0;0;0;0;0;0;0;0;1,58;2014;04;00;0,00;-2,13;0,89;0,00;0,00;32,00;2;9;2;1;
191511824,00;0;0;0;0;0;0;0;0;1,21;2014;04;00;0,00;-2,13;0,89;0,00;0,00;65,00;1;9;1;4;
135596862,00;0;0;0;0;0;0;0;0;0,49;2014;01;02;0,00;-2,13;0,89;0,00;0,00;34,00;2;9;2;2;
142218408,00;0;0;0;0;0;0;0;0;0,82;2014;02;01;0,00;-2,13;0,89;0,00;0,00;41,00;2;9;2;5;
146829833,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;75,00;1;9;1;5;
131916641,00;0;0;0;0;0;0;0;0;2,09;2014;04;00;0,00;-2,13;0,89;0,00;0,00;22,00;2;9;1;3;
204647818,00;0;0;0;0;0;0;0;0;1,27;2014;03;00;0,00;-2,13;0,89;0,00;0,00;50,00;2;9;1;5;
126899273,00;0;0;0;0;0;0;0;0;2,14;2014;04;00;0,00;-2,13;0,89;0,00;0,00;44,00;1;9;1;5;
178134124,00;1;1;1;0;1;0;0;0;0,74;2014;04;02;4,00;-0,05;0,52;0,69;0,00;55,00;1;9;2;2;
155283412,00;0;0;0;0;0;0;0;0;2,62;2014;04;00;0,00;-2,13;0,89;0,00;0,00;23,00;2;9;1;5;
126626662,00;0;0;0;0;0;0;0;0;0,91;2014;03;00;0,00;-2,13;0,89;0,00;0,00;66,00;3;6;1;2;
156933682,00;0;0;0;0;0;0;0;0;0,93;2014;06;01;0,00;-2,13;0,89;0,00;0,00;74,00;1;6;2;4;
124470102,00;0;0;0;0;0;0;0;0;1,95;2014;03;00;0,00;-2,13;0,89;0,00;0,00;33,00;3;6;1;5;
207605623,00;0;0;0;0;0;0;0;0;0,65;2014;02;00;0,00;-2,13;0,89;0,00;0,00;53,00;3;6;2;5;
144757721,00;0;0;0;0;0;0;0;0;0,46;2014;02;00;0,00;-2,13;0,89;0,00;0,00;67,00;1;6;2;5;
202116430,00;1;0;1;0;0;0;0;0;0,93;2014;04;00;2,00;-1,01;0,56;0,10;0,00;71,00;2;6;2;5;
150532757,00;1;1;1;0;0;0;0;0;1,27;2014;03;01;3,00;-0,52;0,53;0,35;0,00;45,00;3;6;1;3;
198456100,00;0;0;0;0;0;0;0;0;0,93;2014;04;00;0,00;-2,13;0,89;0,00;0,00;55,00;2;6;2;5;
194116916,00;1;0;0;0;0;0;0;0;1,63;2014;04;00;1,00;-1,63;0,68;0,03;0,00;43,00;3;6;2;5;
184436553,00;0;0;0;0;0;0;0;0;0,85;2014;02;01;0,00;-2,13;0,89;0,00;0,00;42,00;1;6;1;4;
136083143,00;0;0;0;0;0;0;0;0;0,85;2014;02;01;0,00;-2,13;0,89;0,00;0,00;52,00;3;6;1;5;
156133516,00;0;0;0;0;0;0;0;0;0,69;2014;03;00;0,00;-2,13;0,89;0,00;0,00;63,00;3;6;2;3;
126276031,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;65,00;3;6;1;5;
125092352,00;0;0;0;0;0;0;0;0;2,60;2014;04;00;0,00;-2,13;0,89;0,00;0,00;25,00;2;6;1;1;
164929841,00;1;1;1;0;1;0;0;0;0,79;2014;02;01;4,00;-0,05;0,52;0,69;0,00;29,00;2;6;2;2;
200558270,00;1;1;1;0;1;0;0;0;1,38;2014;03;01;4,00;-0,05;0,52;0,69;0,00;36,00;1;6;2;2;
172149077,00;0;0;0;0;0;0;0;0;0,61;2014;02;00;0,00;-2,13;0,89;0,00;0,00;71,00;1;6;1;3;
140766786,00;1;1;1;0;1;0;0;0;1,27;2014;03;00;4,00;-0,05;0,52;0,69;0,00;52,00;2;6;1;3;
162237353,00;1;0;0;0;0;0;0;0;0,46;2014;02;00;1,00;-1,63;0,68;0,03;0,00;55,00;1;6;2;5;
178928553,00;0;0;0;0;0;0;0;0;1,48;2014;03;01;0,00;-2,13;0,89;0,00;0,00;31,00;2;6;2;5;
193939008,00;0;0;1;0;0;0;0;0;0,93;2014;04;01;1,00;-1,63;0,68;0,03;0,00;58,00;2;8;2;4;
149250176,00;1;1;1;0;0;0;0;0;0,41;2014;01;00;3,00;-0,52;0,53;0,35;0,00;41,00;1;8;2;5;
178506630,00;0;0;0;0;0;0;0;0;0,55;2014;03;00;0,00;-2,13;0,89;0,00;0,00;61,00;1;8;2;2;
154599832,00;0;0;1;0;0;1;0;0;1,61;2014;03;00;2,00;-1,01;0,56;0,10;0,00;41,00;2;8;1;5;
155791740,00;0;0;0;0;0;0;0;0;0,37;2014;01;00;0,00;-2,13;0,89;0,00;0,00;58,00;4;8;2;5;
